Source,Target,Weight,Type
NAME:ALPI|S,OA:A5069506942,1,undirected
NAME:ALPI|S,OA:A5108525265,1,undirected
NAME:ALPI|S,ORCID:0000-0002-3292-1811,1,undirected
NAME:ALPI|S,ORCID:0000-0002-6883-8905,1,undirected
NAME:ALPI|S,ORCID:0000-0003-3521-2954,1,undirected
NAME:ALSABAHI|M,NAME:KAMAL|Q,1,undirected
NAME:ALSABAHI|M,ORCID:0000-0002-0242-5366,1,undirected
NAME:ALSABAHI|M,ORCID:0000-0002-5244-7862,1,undirected
NAME:ALSABAHI|M,ORCID:0000-0003-1139-2831,1,undirected
NAME:ALSHAER|SA,NAME:ALSHALABI|FS,1,undirected
NAME:ALSHAER|SA,NAME:ALTAHRAWI|MHA,1,undirected
NAME:ALSHAER|SA,ORCID:0000-0002-5812-5573,1,undirected
NAME:ALSHAER|SA,ORCID:0000-0002-6074-4269,1,undirected
NAME:ALSHALABI|FS,NAME:ALTAHRAWI|MHA,1,undirected
NAME:ALSHALABI|FS,ORCID:0000-0002-5812-5573,1,undirected
NAME:ALSHALABI|FS,ORCID:0000-0002-6074-4269,1,undirected
NAME:ALSHORMAN|M,OA:A5082880633,1,undirected
NAME:ALSHORMAN|M,ORCID:0000-0002-6408-4683,1,undirected
NAME:ALSHORMAN|M,ORCID:0000-0003-3995-8868,1,undirected
NAME:ALSTEDE|YBAH,ORCID:0000-0002-6309-8346,1,undirected
NAME:ALTAHRAWI|MHA,ORCID:0000-0002-5812-5573,1,undirected
NAME:ALTAHRAWI|MHA,ORCID:0000-0002-6074-4269,1,undirected
NAME:ALTAMIMI|D,ORCID:0000-0001-8498-1827,1,undirected
NAME:ALTAMIMI|D,ORCID:0000-0001-9074-5564,1,undirected
NAME:ALWI|SFS,ORCID:0000-0001-5616-1768,1,undirected
NAME:ALWI|SFS,ORCID:0000-0002-0694-5203,1,undirected
NAME:AMIN|H,ORCID:0000-0002-3707-3647,1,undirected
NAME:AMODEI|D,NAME:BEARD|S,1,undirected
NAME:AMODEI|D,NAME:BELFIELD|H,1,undirected
NAME:AMODEI|D,NAME:BRYSON|JJ,1,undirected
NAME:AMODEI|D,NAME:CROOTOF|R,1,undirected
NAME:AMODEI|D,NAME:EVANS|O,1,undirected
NAME:AMODEI|D,NAME:FARQUHAR|S,1,undirected
NAME:AMODEI|D,NAME:FLYNN|C,1,undirected
NAME:AMODEI|D,NAME:HEIGEARTAIGH|SO,1,undirected
NAME:AMODEI|D,NAME:LYLE|C,1,undirected
NAME:AMODEI|D,NAME:PAGE|ML,1,undirected
NAME:AMODEI|D,NAME:STEINHARDT|J,1,undirected
NAME:AMODEI|D,NAME:YAMPOLSKIY|RV,1,undirected
NAME:AMODEI|D,ORCID:0000-0001-7859-1507,1,undirected
NAME:AMODEI|D,ORCID:0000-0001-9048-8529,1,undirected
NAME:AMODEI|D,ORCID:0000-0001-9637-1161,1,undirected
NAME:AMODEI|D,ORCID:0000-0002-0257-3860,1,undirected
NAME:AMODEI|D,ORCID:0000-0002-0603-4311,1,undirected
NAME:AMODEI|D,ORCID:0000-0002-2465-2682,1,undirected
NAME:AMODEI|D,ORCID:0000-0002-2834-0993,1,undirected
NAME:AMODEI|D,ORCID:0000-0002-2846-1576,1,undirected
NAME:AMODEI|D,ORCID:0000-0002-6015-0225,1,undirected
NAME:AMODEI|D,ORCID:0000-0002-9185-6415,1,undirected
NAME:AMODEI|D,ORCID:0000-0003-0021-0801,1,undirected
NAME:AMODEI|D,ORCID:0000-0003-4889-7198,1,undirected
NAME:AMODEI|D,ORCID:0009-0009-4720-6907,1,undirected
NAME:AMPONSTIRA|F,ORCID:0000-0002-1574-5246,1,undirected
NAME:ANAND|A,ORCID:0000-0001-6649-6422,1,undirected
NAME:ANAND|A,ORCID:0000-0002-1335-4057,1,undirected
NAME:ANAND|A,ORCID:0000-0002-1794-9103,1,undirected
NAME:ANDERSON|NH,NAME:CARROLL|JS,1,undirected
NAME:ANDERSON|RE,NAME:TATHAM|RL,1,undirected
NAME:ANDERSON|RE,ORCID:0000-0002-9226-9693,1,undirected
NAME:ANDERSON|RE,ORCID:0000-0003-4865-6124,1,undirected
NAME:ANKOMAH|J,NAME:KUSI|LY,1,undirected
NAME:ANKOMAH|J,ORCID:0000-0001-6448-5009,1,undirected
NAME:ANKOMAH|J,ORCID:0000-0001-8489-9444,1,undirected
NAME:ANKOMAH|J,ORCID:0000-0002-6338-4545,1,undirected
NAME:ANKOMAH|J,ORCID:0000-0002-8614-4050,1,undirected
NAME:ANN|M,NAME:RAHAB|N,1,undirected
NAME:ANN|M,NAME:SAMUEL|M,1,undirected
NAME:ANSARI|M,OA:A5007988854,1,undirected
NAME:ANTONIO|F,NAME:BERNARTO|I,1,undirected
NAME:ANTONIO|F,NAME:HASBULLAH|Y,1,undirected
NAME:ANTONIO|F,ORCID:0000-0002-1319-3732,1,undirected
NAME:ANTONIO|F,ORCID:0000-0002-3044-2833,1,undirected
NAME:ANTONIO|F,ORCID:0000-0003-1952-8262,1,undirected
NAME:APARICIO|S,ORCID:0000-0001-7600-8656,1,undirected
NAME:APARICIO|S,ORCID:0000-0002-7912-7033,1,undirected
NAME:APARICIO|S,ORCID:0000-0003-1121-5667,1,undirected
NAME:APPIAH‐ADU|K,OA:A5108533881,1,undirected
NAME:ARCHAMBEAU|S,NAME:LODISH|LM,1,undirected
NAME:ARCHAMBEAU|S,NAME:MORGAN|HL,1,undirected
NAME:ARDITI|D,ORCID:0000-0001-5650-1574,1,undirected
NAME:ARGOUSLIDIS|PC,NAME:ZERITI|A,1,undirected
NAME:ARGOUSLIDIS|PC,ORCID:0000-0002-7791-1457,1,undirected
NAME:ARIAS OLIVA|M,ORCID:0000-0002-1593-7061,1,undirected
NAME:ARIAS OLIVA|M,ORCID:0000-0002-1593-7440,1,undirected
NAME:ARUNACHALAM|M,ORCID:0000-0001-9554-4729,1,undirected
NAME:ARUNACHALAM|M,ORCID:0000-0002-4559-7491,1,undirected
NAME:ARUNACHALAM|M,ORCID:0000-0003-3477-5173,1,undirected
NAME:ASADI|J,NAME:TAROKH|F,1,undirected
"NAME:ASHRAF, SHEIKH FARHAN",NAME:ASHRAF|SF,1,undirected
"NAME:ASHRAF, SHEIKH FARHAN",ORCID:0000-0001-6595-9288,1,undirected
"NAME:ASHRAF, SHEIKH FARHAN",ORCID:0000-0002-0242-9156,1,undirected
"NAME:ASHRAF, SHEIKH FARHAN",ORCID:0000-0003-3831-3275,1,undirected
NAME:ASHRAFI|A,ORCID:0000-0001-6576-2071,1,undirected
NAME:ASHRAFI|A,ORCID:0000-0003-1539-5546,1,undirected
NAME:ASHRAF|SF,ORCID:0000-0001-6595-9288,1,undirected
NAME:ASHRAF|SF,ORCID:0000-0002-0242-9156,1,undirected
NAME:ASHRAF|SF,ORCID:0000-0003-3831-3275,1,undirected
NAME:ASSIELOU|N,NAME:CAMARGO|M,1,undirected
NAME:ASSIELOU|N,NAME:MOREL|L,1,undirected
NAME:ASSIELOU|N,ORCID:0000-0003-3867-2438,1,undirected
NAME:ATWAL|H,ORCID:0000-0002-1719-1312,1,undirected
NAME:AUER|J,NAME:EBER|B,1,undirected
NAME:AUER|J,NAME:MAURER|E,1,undirected
NAME:AUER|J,NAME:MAYR|H,1,undirected
NAME:AUER|J,NAME:PICHLER|F,1,undirected
NAME:AUER|J,ORCID:0000-0001-6464-7661,1,undirected
NAME:AUER|J,ORCID:0000-0002-3962-0309,1,undirected
NAME:AUFAURE|MA,NAME:MELLO|CE,1,undirected
NAME:AUFAURE|MA,NAME:ZIMBRAO|G,1,undirected
NAME:AUFAURE|MA,ORCID:0000-0002-3632-4002,1,undirected
NAME:AUKA|D,NAME:BOSIRE|J,1,undirected
NAME:AUKA|D,NAME:MATERN|V,1,undirected
NAME:AVRAM|DO,NAME:KUHNE|S,1,undirected
NAME:AWUAH|JB,NAME:ERNEST|K,1,undirected
NAME:AWUAH|JB,NAME:SAMUEL|YA,1,undirected
NAME:AYAYI|AG,NAME:VU|M,1,undirected
NAME:AYAYI|AG,ORCID:0000-0002-5324-2746,1,undirected
NAME:AYAZI|S,NAME:BORCHALOUEI|N,1,undirected
NAME:AYAZI|S,NAME:BOUDLAIE|H,1,undirected
NAME:AYAZI|S,NAME:ESMAELNEZHAD|D,1,undirected
NAME:AYAZI|S,NAME:GHAHREMANI|H,1,undirected
NAME:AYAZI|S,NAME:HASHEMIPOUR|B,1,undirected
NAME:AYAZI|S,NAME:HEYDARI|E,1,undirected
NAME:AYAZI|S,NAME:KENARROODI|MH,1,undirected
NAME:AYAZI|S,NAME:PIRONTI|M,1,undirected
NAME:AYAZI|S,NAME:RASSAF|M,1,undirected
NAME:AYAZI|S,NAME:REZAEI|M,1,undirected
NAME:AYAZI|S,NAME:SADRAEI|R,1,undirected
NAME:AYAZI|S,NAME:SHAHIDI|SS,1,undirected
