OriginalPersonID,GlobalPersonID,AuthorFullName,Orcid,OpenAlexAuthorIDs
ORCID:0000-0001-5093-8097,ORCID:0000-0001-5093-8097,"JUAN, DAVID REYES-GOMEZ",https://orcid.org/0000-0001-5093-8097,https://openalex.org/A5048877483
ORCID:0000-0001-5096-0163,ORCID:0000-0001-5096-0163,"MATTI, KUMMU",https://orcid.org/0000-0001-5096-0163,https://openalex.org/A5079266139
ORCID:0000-0001-5096-2740,ORCID:0000-0001-5096-2740,"DARRELL, E. BARTHOLOMEW",https://orcid.org/0000-0001-5096-2740,https://openalex.org/A5088629191
ORCID:0000-0001-5097-8646,ORCID:0000-0001-5097-8646,"ASHISH, ARORA",https://orcid.org/0000-0001-5097-8646,https://openalex.org/A5101784828
ORCID:0000-0001-5100-3605,ORCID:0000-0001-5100-3605,"FEDERICO, FRATTINI",https://orcid.org/0000-0001-5100-3605,https://openalex.org/A5044315503
ORCID:0000-0001-5102-0368,ORCID:0000-0001-5102-0368,"DAWN, JUTLA",https://orcid.org/0000-0001-5102-0368,https://openalex.org/A5018256500
ORCID:0000-0001-5102-0704,ORCID:0000-0001-5102-0704,"SUVEERA, GILL",https://orcid.org/0000-0001-5102-0704,https://openalex.org/A5022325573
ORCID:0000-0001-5103-1796,ORCID:0000-0001-5103-1796,"RAHMAN, ASIF ALI",https://orcid.org/0000-0001-5103-1796,
ORCID:0000-0001-5104-3607,ORCID:0000-0001-5104-3607,"YI-MIN, CHEN",https://orcid.org/0000-0001-5104-3607,https://openalex.org/A5101407738
ORCID:0000-0001-5107-0170,ORCID:0000-0001-5107-0170,"CHRIS, HINSCH",https://orcid.org/0000-0001-5107-0170,https://openalex.org/A5022027321
ORCID:0000-0001-5114-5355,ORCID:0000-0001-5114-5355,"DAVID, JOHNSTON",https://orcid.org/0000-0001-5114-5355,https://openalex.org/A5101542140
ORCID:0000-0001-5121-1877,ORCID:0000-0001-5121-1877,"RUDY, FERNANDEZ-ESCOBEDO",https://orcid.org/0000-0001-5121-1877,https://openalex.org/A5022667856
ORCID:0000-0001-5121-7726,ORCID:0000-0001-5121-7726,"CONSTANCE, DEVEREAUX",https://orcid.org/0000-0001-5121-7726,https://openalex.org/A5036122056
