SR,SR_ref
"MILES M, 2015, J STRATEG MARK","SLEVIN DP, 1998, ENTREP THEORY PRACT"
"MILES M, 2015, J STRATEG MARK","SLEVIN DP, 1990, SLOAN MANAGE REV"
"MILES M, 2015, J STRATEG MARK","SLOTEGRAAF RJ, 2003, J MARKETING RES"
"MILES M, 2015, J STRATEG MARK","SOK P, 2013, AUSTRALAS MARK J"
"MILES M, 2015, J STRATEG MARK","SONG M, 2005, STRATEGIC MANAGE J"
"MILES M, 2015, J STRATEG MARK","SONG M, 2010, J BUS VENTURING"
"MILES M, 2015, J STRATEG MARK","SONG M, 2009, INT J RES MARK"
"MILES M, 2015, J STRATEG MARK","STEVENSON HH, 1990, STRATEGIC MANAGE J"
"MILES M, 2015, J STRATEG MARK","STOKES D, 2000, J RES MARKETING ENTR"
"MILES M, 2015, J STRATEG MARK","STOKES D, 2010, SMALL BUSINESS MANAGEMENT AND ENTREPRENEURSHIP"
"MILES M, 2015, J STRATEG MARK","STOKES D, 2013, ENTREPRENUERIAL MARKETING: GLOBAL PERSPECTIVES"
"MILES M, 2015, J STRATEG MARK","TEECE DJ, 2007, STRATEGIC MANAGE J"
"MILES M, 2015, J STRATEG MARK","VARADARAJAN R, 2010, J ACAD MARKET SCI"
"MILES M, 2015, J STRATEG MARK","VARGO SL, 2004, J MARKETING"
"MILES M, 2015, J STRATEG MARK","VENKATARAMAN S, 1997, DISTINCTIVE DOMAIN E"
"MILES M, 2015, J STRATEG MARK","VON STAMM B, 2003, INNOVATION WAVE M CO"
"MILES M, 2015, J STRATEG MARK","WALES W, 2011, ENTREP THEORY PRACT"
"MILES M, 2015, J STRATEG MARK","WEBB JW, 2011, J ACAD MARKET SCI"
"MILES M, 2015, J STRATEG MARK","YLI-RENKO H, 2001, STRATEGIC MANAGE J"
"MARTIN DM, 2009, QUAL MARK RES","ACHROL RS, 1991, J MARKETING"
"MARTIN DM, 2009, QUAL MARK RES","ANDERSON J, 1987, COMMUNICATION RES IS"
"MARTIN DM, 2009, QUAL MARK RES","ANONYMOUS, , SOMETHING OLD UNPUB"
"MARTIN DM, 2009, QUAL MARK RES","ANONYMOUS, 1971, ANAL SOCIAL SETTINGS"
"MARTIN DM, 2009, QUAL MARK RES","ANONYMOUS, , J RES MARKETING ENTR"
"MARTIN DM, 2009, QUAL MARK RES","ANONYMOUS, , 21 CENTURY CHALLENGE"
"MARTIN DM, 2009, QUAL MARK RES","BARLEY SR, 1986, ADMIN SCI QUART"
"MARTIN DM, 2009, QUAL MARK RES","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES: AN INNOVATIVE APPROACH"
"MARTIN DM, 2009, QUAL MARK RES","CARSON DJ, 1993, JOURNAL OF MARKETING MANAGEMENT"
"MARTIN DM, 2009, QUAL MARK RES","CHASTON I, 1997, MARKETING EDUCATION REVIEW"
"MARTIN DM, 2009, QUAL MARK RES","COPE J, 2005, INT SMALL BUS J"
"MARTIN DM, 2009, QUAL MARK RES","CURRAN J, 1993, INTERNATIONAL SMALL BUSINESS JOURNAL"
"MARTIN DM, 2009, QUAL MARK RES","DODGE HR, 1994, STRATEGIC MANAGE J"
"MARTIN DM, 2009, QUAL MARK RES","GILMORE A, 1999, JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP"
"MARTIN DM, 2009, QUAL MARK RES","GLASER A, 1967, ADV METHODOLOGY GROU"
"MARTIN DM, 2009, QUAL MARK RES","GRONROOS C, 1995, JOURNAL OF THE ACADEMY OF MARKETING SCIENCE"
"MARTIN DM, 2009, QUAL MARK RES","HILL J, 2000, JOURNAL OF ENTERPRISING CULTURE"
"MARTIN DM, 2009, QUAL MARK RES","HILLS GE, 1992, ENTREPRENEURSHIP THEORY AND PRACTICE"
"MARTIN DM, 2009, QUAL MARK RES","HILLS GE, 2008, J SMALL BUS MANAGE"
